obsdescription;table_observation;obsdescription;0;1;1;0;74;
obsmethode;table_observation;obsmethode;0;1;1;0;75;
occetatbiologique;table_observation;occetatbiologique;0;1;1;0;76;
occstatutbiogeographique;table_observation;occstatutbiogeographique;0;1;1;0;77;
occmethodedetermination;table_observation;occmethodedetermination;0;1;1;0;78;
occnaturalite;table_observation;occnaturalite;0;1;1;0;79;
occsexe;table_observation;occsexe;0;1;1;0;80;
occstadedevie;table_observation;occstadedevie;0;1;1;0;81;
occstatutbiologique;table_observation;occstatutbiologique;0;1;1;0;82;
preuveexistante;table_observation;preuveexistante;0;1;1;0;83;
preuvenonnumerique;table_observation;preuvenonnumerique;0;1;1;0;84;
preuvenumerique;table_observation;preuvenumerique;0;1;1;0;85;
obscontexte;table_observation;obscontexte;0;1;1;0;86;
identifiantregroupementpermanent;table_observation;identifiantregroupementpermanent;0;1;1;0;87;
methoderegroupement;table_observation;methoderegroupement;0;1;1;0;88;
typeregroupement;table_observation;typeregroupement;0;1;1;0;89;
altitudemoyenne;table_observation;altitudemoyenne;0;1;1;0;90;
profondeurmoyenne;table_observation;profondeurmoyenne;0;1;1;0;91;
geometrie;table_observation;geometrie;1;1;1;0;92;
natureobjetgeo;table_observation;natureobjetgeo;0;1;1;0;93;
precisiongeometrie;table_observation;precisiongeometrie;0;1;1;0;94;
sensimanuelle;table_observation;sensimanuelle;1;1;0;0;95;
sensialerte;table_observation;sensialerte;1;1;0;0;96;
codemaillecalcule;table_observation;codemaillecalcule;1;0;1;0;97;
codecommunecalcule;table_observation;codecommunecalcule;1;0;1;0;98;
nomcommunecalcule;table_observation;nomcommunecalcule;1;0;1;0;99;
codedepartementcalcule;table_observation;codedepartementcalcule;1;0;1;0;100;
heuredatedebut;table_observation;heuredatedebut;0;1;1;1;101;
heuredatefin;table_observation;heuredatefin;0;1;1;1;102;
nomvalide;table_observation;nomvalide;1;1;1;0;103;
